tweet_id,tweet_date,tweet_source,tweet_text,tweet_user,tweet_favorites,tweet_retweets,
1.27E+18,19-06-2020 07:52,Twitter for Android,"RT @vinayak_jain: They boast about their machines.

We speak of the man behind the machine.

#IndiaVsChina",ArjunM1412,0,21,
,,,,,,,
1.27E+18,19-06-2020 07:47,Twitter for iPad,"RT @vinayak_jain: They boast about their machines.

We speak of the man behind the machine.

#IndiaVsChina",anil7kishan,0,21,
,,,,,,,
1.27E+18,19-06-2020 07:46,Twitter Web App,"RT @vinayak_jain: They boast about their machines.

We speak of the man behind the machine.

#IndiaVsChina",bhaiyafromup,0,21,
,,,,,,,
1.27E+18,19-06-2020 07:46,Twitter for Android,"RT @vinayak_jain: They boast about their machines.

We speak of the man behind the machine.

#IndiaVsChina",yodanand,0,21,
,,,,,,,
1.27E+18,19-06-2020 07:46,Twitter for Android,RT @STRANGE64022201: How INDIA losing its Neighbors one by one | How INDIA losing SRI LANKA  #IndiaWantsSurpriseAgain #srilanka  #IndiaWill…,VishwaPrabhat10,0,7,
,,,,,,,
1.27E+18,19-06-2020 07:45,Twitter for Android,"RT @vinayak_jain: They boast about their machines.

We speak of the man behind the machine.

#IndiaVsChina",listenankita,0,21,
,,,,,,,
1.27E+18,19-06-2020 07:44,Twitter for Android,"RT @vinayak_jain: They boast about their machines.

We speak of the man behind the machine.

#IndiaVsChina",Anuj75062151,0,21,
,,,,,,,
1.27E+18,19-06-2020 07:44,Twitter for iPhone,"They boast about their machines.

We speak of the man behind the machine.

#IndiaVsChina",vinayak_jain,171,21,
,,,,,,,
1.27E+18,19-06-2020 07:41,Twitter Web App,"Old school #handtohand combat. Wow. 

#IndiavsChina https://t.co/b6Jd4qQ5aW",djjoseywalez,0,0,
,,,,,,,
1.27E+18,19-06-2020 07:38,Twitter for Android,"RT @ManojGoelBJP: Why Gandhi family is the choice of China? I think Rajmata/Rajkumar should tell to the nation.

#IndiaVsChina",DhrumehtaBJP,0,2,
,,,,,,,
1.27E+18,19-06-2020 07:13,Twitter for Android,"RT @ManojGoelBJP: Why Gandhi family is the choice of China? I think Rajmata/Rajkumar should tell to the nation.

#IndiaVsChina",_sharma_sneha,0,2,
,,,,,,,
1.27E+18,19-06-2020 07:12,Twitter for iPhone,"Why Gandhi family is the choice of China? I think Rajmata/Rajkumar should tell to the nation.

#IndiaVsChina https://t.co/xqHkKnn6zu",ManojGoelBJP,3,2,
,,,,,,,
1.27E+18,19-06-2020 07:08,Twitter for Android,"Emotional decisions will lead to our own destruction. 
 https://t.co/IksJkNLNyn

#boycottchineseproducts… https://t.co/6DU9hsjlRK",playgiarist,3,1,
,,,,,,,
1.27E+18,19-06-2020 07:07,Twitter Web App,"What is happening? 
 
Are we not sure about the count of our own soldiers?

Are the govt officials trying to deceiv… https://t.co/CnoVAQ8XXv",Utk4ever,0,0,
,,,,,,,
